pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type
2016,11,1,0,0.64,230,100,4.5,0.5,0.5,0,0.3,5,10.8,1
2016,11,1,0,1.8,68,230,10,0.5,0.5,0,0.3,3.35,14.65,1
2016,11,1,0,0.5,114,249,9,0.5,0.5,0,0,0,10,2
2016,1,29,0,0.9,40.73803711,1,40.73168182,1,6,0.5,1,0,0,-73.99027252
2016,1,1,0,15.25,40.64486313,1,40.72632599,1,40.5,0.5,0,0.5,0,-73.93797302
2016,7,10,0,1.8,263,162,9.5,0,0.5,0,0.3,2.05,12.35,1
2016,11,1,0,0.8,249,68,8,0.5,0.5,0,0.3,0,9.3,2
2016,2,1,0,19,40.79450989,1,40.88246918,3,52,0.5,0,0.5,0,-73.86697388
2016,11,1,0,3.75,79,261,13,0.5,0.5,0,0.3,0,14.3,2
2016,2,1,0,2.4,40.76280212,1,40.75577164,2,9.5,0.5,0,0.5,0,-73.92826843
2016,11,1,0,0.7,249,158,6,0.5,0.5,0,0.3,1,8.3,1
2016,7,10,0,3.5,166,163,13.5,0,0.5,0,0.3,3.5,17.8,1
2016,7,17,0,1.5,50,186,7.5,0.5,0.5,0,0.3,0,8.8,2
2016,7,10,0,1.6,236,140,8.5,0,0.5,0,0.3,0,9.3,2
2016,2,19,0,3.65,40.75320816,1,40.79135895,1,13.5,0.5,1.7,0.5,0,-73.97389984
2016,11,1,0,1.7,125,232,8.5,0.5,0.5,0,0.3,0,9.8,1
2016,7,10,0,1.05,170,186,7.5,0,0.5,0,0.3,0,8.3,2
2016,9,4,0,1.63,163,236,8,0.5,0.5,0,0.3,0.7,10,1
2016,2,19,0,0.52,40.76337814,1,40.75865173,2,4,0.5,0,0.5,0,-73.96643829
2016,9,4,0,2.87,107,125,12,0.5,0.5,0,0.3,0,13.3,2
2016,11,15,0,1.17,68,246,5.5,0.5,0.5,0,0.3,1.7,8.5,1
2016,1,29,0,1.9,40.78109741,1,40.80495834,1,9,0.5,1.96,0,0,-73.93888855
2016,7,10,0,1.3,137,100,7,0,0.5,0,0.3,1.56,9.36,1
2016,11,1,0,3.8,170,7,15,0.5,0.5,0,0.3,3.25,19.55,1
2016,9,4,0,1.07,50,161,7,0.5,0.5,0,0.3,2.08,10.38,1
2016,2,1,0,2.28,40.76607132,1,40.78832245,2,8.5,0.5,0,0.5,0,-73.94101715
2016,2,1,0,18.81,40.64500046,2,40.72578049,1,52,0.5,11.67,0,5.54,-73.9885788
2016,7,10,0,1.18,113,158,7.5,0,0.5,0,0.3,1.66,9.96,1
2016,2,19,0,1.1,40.73588562,1,40.73447418,2,8,0.5,0,0.5,0,-74.00222778
2016,11,15,0,0.79,100,68,5,0.5,0.5,0,0.3,0,6.3,2
2016,7,10,0,1.1,68,114,7,0,0.5,0,0.3,0,7.8,2
2016,11,1,0,1.5,142,161,9,0.5,0.5,0,0.3,0,10.3,2
2016,1,1,0,1.38,40.71849823,1,40.73423004,1,7,0.5,1.66,0.5,0,-73.98980713
2016,11,1,0,11.4,79,243,34,0.5,0.5,0,0.3,0,35.3,2
2016,7,17,0,3.8,90,65,13.5,0.5,0.5,0,0.3,3.7,18.5,1
2016,7,10,0,22.3,132,50,52,0,0.5,5.54,0.3,8,66.34,1
2016,9,4,0,1.62,263,162,7.5,0.5,0.5,0,0.3,1.76,10.56,1
2016,7,17,0,2.7,141,79,10.5,0.5,0.5,0,0.3,0,11.8,2
2016,9,4,0,1.72,246,48,7,0.5,0.5,0,0.3,1.66,9.96,1
2016,9,4,0,1.89,125,107,8.5,0.5,0.5,0,0.3,1.96,11.76,1
2016,2,1,0,4.09,40.72513962,1,40.6995697,1,15,0.5,4.08,0.5,0,-73.94571686
2016,11,1,0,1.4,224,148,9.5,0.5,0.5,0,0.3,1.05,11.85,1
2016,9,4,0,5.38,164,52,18,0.5,0.5,0,0.3,3.86,23.16,1
2016,9,4,0,8.33,114,133,24.5,0.5,0.5,0,0.3,0,25.8,2
2016,1,1,0,2.32,40.77373886,1,40.75383759,2,19,0.5,0,0.5,0,-73.99596405
2016,1,1,0,0.6,40.75133133,1,40.75033951,1,5,0.5,0,0.5,0,-73.99134064
2016,9,4,0,0.43,151,151,4,0.5,0.5,0,0.3,1,6.3,1
2016,7,10,0,0.4,48,48,3.5,0,0.5,0,0.3,0.86,5.16,1
2016,1,1,0,1.5,40.74156952,1,40.72634125,1,7.5,0.5,2.2,0.5,0,-74.00235748
2016,7,10,0,1.22,170,229,6,0,0.5,0,0.3,1.36,8.16,1
2016,9,4,0,0.56,107,224,4,0.5,0.5,0,0.3,0,5.3,2
2016,1,1,0,9.6,40.74243927,1,40.85139084,1,32,0.5,5,0.5,0,-73.94156647
2016,7,10,0,1.2,48,68,6,0,0.5,0,0.3,1.35,8.15,1
2016,11,1,0,0.8,79,234,6.5,0.5,0.5,0,0.3,0,7.8,2
2016,2,1,0,1.19,40.76123047,1,40.77259064,1,6,0.5,1.82,0.5,0,-73.95545959
2016,7,10,0,1.26,142,238,6.5,0,0.5,0,0.3,0,7.3,2
2016,11,1,0,8.1,48,196,27,0.5,0.5,0,0.3,0,28.3,2
2016,1,29,0,0.69,40.7522583,1,40.74715042,2,5,0.5,0,0,0,-73.98383331
2016,1,29,0,7.5,40.7429924,1,40.6925621,2,41,0.5,0,0,0,-73.95480347
